EXCHANGE,SYMBOL,BSE_CODE,ISIN,NAME,YF_TICKER
NSE,360ONE,,,360ONE,360ONE.NS
NSE,3MINDIA,,,3MINDIA,3MINDIA.NS
NSE,ABB,,,ABB,ABB.NS
NSE,ACC,,,ACC,ACC.NS
NSE,ADANIENT,,,ADANIENT,ADANIENT.NS
NSE,ADANIGREEN,,,ADANIGREEN,ADANIGREEN.NS
NSE,ADANIPORTS,,,ADANIPORTS,ADANIPORTS.NS
NSE,ADANIPOWER,,,ADANIPOWER,ADANIPOWER.NS
NSE,ATGL,,,ATGL,ATGL.NS
NSE,ABCAPITAL,,,ABCAPITAL,ABCAPITAL.NS
NSE,ABFRL,,,ABFRL,ABFRL.NS
NSE,ABSLAMC,,,ABSLAMC,ABSLAMC.NS
NSE,ADVENZYMES,,,ADVENZYMES,ADVENZYMES.NS
NSE,AEGISLOG,,,AEGISLOG,AEGISLOG.NS
NSE,AIAENG,,,AIAENG,AIAENG.NS
NSE,APLAPOLLO,,,APLAPOLLO,APLAPOLLO.NS
NSE,APOLLOHOSP,,,APOLLOHOSP,APOLLOHOSP.NS
NSE,ASIANPAINT,,,ASIANPAINT,ASIANPAINT.NS
NSE,AXISBANK,,,AXISBANK,AXISBANK.NS
NSE,BAJAJ-AUTO,,,BAJAJ-AUTO,BAJAJ-AUTO.NS
NSE,BAJFINANCE,,,BAJFINANCE,BAJFINANCE.NS
NSE,BAJAJFINSV,,,BAJAJFINSV,BAJAJFINSV.NS
NSE,BEL,,,BEL,BEL.NS
NSE,BHARTIARTL,,,BHARTIARTL,BHARTIARTL.NS
NSE,BPCL,,,BPCL,BPCL.NS
NSE,BRITANNIA,,,BRITANNIA,BRITANNIA.NS
NSE,CIPLA,,,CIPLA,CIPLA.NS
NSE,COALINDIA,,,COALINDIA,COALINDIA.NS
NSE,DIVISLAB,,,DIVISLAB,DIVISLAB.NS
NSE,DRREDDY,,,DRREDDY,DRREDDY.NS
NSE,EICHERMOT,,,EICHERMOT,EICHERMOT.NS
NSE,ETERNAL,,,ETERNAL,ETERNAL.NS
NSE,GRASIM,,,GRASIM,GRASIM.NS
NSE,HCLTECH,,,HCLTECH,HCLTECH.NS
NSE,HDFCBANK,,,HDFCBANK,HDFCBANK.NS
NSE,HDFCLIFE,,,HDFCLIFE,HDFCLIFE.NS
NSE,HEROMOTOCO,,,HEROMOTOCO,HEROMOTOCO.NS
NSE,HINDALCO,,,HINDALCO,HINDALCO.NS
NSE,HINDUNILVR,,,HINDUNILVR,HINDUNILVR.NS
NSE,ICICIBANK,,,ICICIBANK,ICICIBANK.NS
NSE,INDUSINDBK,,,INDUSINDBK,INDUSINDBK.NS
NSE,INFY,,,INFY,INFY.NS
NSE,ITC,,,ITC,ITC.NS
NSE,JSWSTEEL,,,JSWSTEEL,JSWSTEEL.NS
NSE,KOTAKBANK,,,KOTAKBANK,KOTAKBANK.NS
NSE,LT,,,LT,LT.NS
NSE,M&M,,,M&M,M&M.NS
NSE,MARUTI,,,MARUTI,MARUTI.NS
NSE,NESTLEIND,,,NESTLEIND,NESTLEIND.NS
NSE,NTPC,,,NTPC,NTPC.NS
NSE,ONGC,,,ONGC,ONGC.NS
NSE,POWERGRID,,,POWERGRID,POWERGRID.NS
NSE,RELIANCE,,,RELIANCE,RELIANCE.NS
NSE,SBILIFE,,,SBILIFE,SBILIFE.NS
NSE,SBIN,,,SBIN,SBIN.NS
NSE,SHRIRAMFIN,,,SHRIRAMFIN,SHRIRAMFIN.NS
NSE,SUNPHARMA,,,SUNPHARMA,SUNPHARMA.NS
NSE,TATACONSUM,,,TATACONSUM,TATACONSUM.NS
NSE,TATAMOTORS,,,TATAMOTORS,TATAMOTORS.NS
NSE,TATASTEEL,,,TATASTEEL,TATASTEEL.NS
NSE,TCS,,,TCS,TCS.NS
NSE,TECHM,,,TECHM,TECHM.NS
NSE,TITAN,,,TITAN,TITAN.NS
NSE,TRENT,,,TRENT,TRENT.NS
NSE,ULTRACEMCO,,,ULTRACEMCO,ULTRACEMCO.NS
NSE,WIPRO,,,WIPRO,WIPRO.NS
NSE,ZYDUSLIFE,,,ZYDUSLIFE,ZYDUSLIFE.NS
